Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,42.734483,-84.5360492
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,6.7088582,-1.637644
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,46.49730225,-84.35058406
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,42.78539075,-82.48107958
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,6.7114892,-1.567933625
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,,
Acute Care Hospitals,Proprietary,Yes,Y,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,42.6188429,-83.09325699
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available,42.23473995,-83.27650561
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,42.35341375,-83.05471989
Acute Care Hospitals,Proprietary,Yes,Y,1,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,43.4548124,-84.0501374
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,42.59253275,-83.49828058
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,42.5189711,-83.6954343
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,42.3570277,-83.06208974
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,42.45761425,-83.20337433
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,42.53736925,-83.40713015
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,44.2713615,-86.27483837
Acute Care Hospitals,Government - State,Yes,Y,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,44.636832,-86.24238814
